,ghi,temp,wind,load,price,price_base,hour,hour_sin,hour_cos,p_pv,p_wind
2021-03-18 17:00:00+00:00,0.0,22.21,2.51,13.299610403822586,0,0.12,17.0,-0.9659258262890683,-0.25881904510252063,0.0,0.0
2021-03-18 18:00:00+00:00,0.0,22.12,2.49,12.6998538886265,0,0.12,18.0,-1.0,-1.8369701987210297e-16,0.0,0.0
2021-03-18 19:00:00+00:00,0.0,21.99,2.55,12.343580620536487,0,0.12,19.0,-0.9659258262890684,0.2588190451025203,0.0,0.0
2021-03-18 20:00:00+00:00,0.0,21.87,2.58,13.815439860411399,0,0.12,20.0,-0.8660254037844386,0.5000000000000001,0.0,0.0
2021-03-18 21:00:00+00:00,0.0,21.67,2.6,12.073402951716393,0,0.12,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0
2021-03-18 22:00:00+00:00,0.0,21.48,2.57,9.781053494979577,0,0.12,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.0
2021-03-18 23:00:00+00:00,81.93,22.69,2.34,9.20555297374967,0,0.12,23.0,-0.25881904510252157,0.9659258262890681,1.917162,0.0
2021-03-19 00:00:00+00:00,303.55,24.26,2.57,12.068101819767092,0,0.12,0.0,0.0,1.0,7.10307,0.0
2021-03-19 01:00:00+00:00,553.88,25.85,2.67,13.624806742004676,0,0.12,1.0,0.25881904510252074,0.9659258262890683,12.960792,0.0
2021-03-19 02:00:00+00:00,744.7,27.3,2.38,11.93960551438463,0,0.12,2.0,0.49999999999999994,0.8660254037844387,17.42598,0.0
2021-03-19 03:00:00+00:00,883.05,28.31,2.4,13.207908216955438,0,0.12,3.0,0.7071067811865475,0.7071067811865476,20.66337,0.0
2021-03-19 04:00:00+00:00,939.83,28.84,2.77,14.320919281418258,0,0.12,4.0,0.8660254037844386,0.5000000000000001,21.992022000000002,0.0
2021-03-19 05:00:00+00:00,930.78,28.99,3.2,13.428324363131974,0,0.12,5.0,0.9659258262890683,0.25881904510252074,21.780251999999997,0.00010973936899862853
2021-03-19 06:00:00+00:00,844.2,28.71,3.53,10.002269916026947,0,0.12,6.0,1.0,6.123233995736766e-17,19.754279999999998,0.0020422085048010952
2021-03-19 07:00:00+00:00,675.35,28.11,3.68,9.418739034265638,0,0.12,7.0,0.9659258262890683,-0.25881904510252063,15.803189999999999,0.004313196159122088
2021-03-19 08:00:00+00:00,466.27,27.23,3.74,12.176050998075823,0,0.12,8.0,0.8660254037844387,-0.4999999999999998,10.910718,0.005558628257887523
2021-03-19 09:00:00+00:00,235.23,26.05,3.66,13.81598934591907,0,0.12,9.0,0.7071067811865476,-0.7071067811865475,5.504382,0.003943703703703706
2021-03-19 10:00:00+00:00,41.4,24.66,3.06,12.4570653099031,0,0.12,10.0,0.49999999999999994,-0.8660254037844387,0.9687599999999998,2.96296296296297e-06
2021-03-19 11:00:00+00:00,0.0,23.7,2.74,12.39378617670819,0,0.12,11.0,0.258819045102521,-0.9659258262890682,0.0,0.0
2021-03-19 12:00:00+00:00,0.0,23.37,2.71,14.798397265879808,0,0.12,12.0,1.2246467991473532e-16,-1.0,0.0,0.0
2021-03-19 13:00:00+00:00,0.0,23.14,2.75,12.549961894365634,0,0.12,13.0,-0.2588190451025208,-0.9659258262890683,0.0,0.0
2021-03-19 14:00:00+00:00,0.0,22.9,2.75,10.470962417333444,0,0.12,14.0,-0.4999999999999997,-0.8660254037844388,0.0,0.0
2021-03-19 15:00:00+00:00,0.0,22.61,2.64,10.276755302273454,0,0.12,15.0,-0.7071067811865471,-0.7071067811865479,0.0,0.0
2021-03-19 16:00:00+00:00,0.0,22.34,2.61,12.40531961273525,0,0.12,16.0,-0.8660254037844384,-0.5000000000000004,0.0,0.0
2021-03-19 17:00:00+00:00,0.0,22.17,2.61,13.37273406877692,0,0.12,17.0,-0.9659258262890683,-0.25881904510252063,0.0,0.0
2021-03-19 18:00:00+00:00,0.0,22.03,2.54,12.155860746762343,0,0.12,18.0,-1.0,-1.8369701987210297e-16,0.0,0.0
2021-03-19 19:00:00+00:00,0.0,21.9,2.48,13.43152918128377,0,0.12,19.0,-0.9659258262890684,0.2588190451025203,0.0,0.0
2021-03-19 20:00:00+00:00,0.0,21.82,2.45,14.285199150563088,0,0.12,20.0,-0.8660254037844386,0.5000000000000001,0.0,0.0
2021-03-19 21:00:00+00:00,0.0,21.8,2.46,13.210052140903699,0,0.12,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0
2021-03-19 22:00:00+00:00,0.0,21.75,2.45,10.200673065612667,0,0.12,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.0
2021-03-19 23:00:00+00:00,70.95,22.82,2.43,9.483802610590146,0,0.12,23.0,-0.25881904510252157,0.9659258262890681,1.66023,0.0
2021-03-20 00:00:00+00:00,279.12,24.38,2.98,11.952280504780703,0,0.12,0.0,0.0,1.0,6.531408,0.0
2021-03-20 01:00:00+00:00,509.12,25.89,3.2,12.696934906696592,0,0.12,1.0,0.25881904510252074,0.9659258262890683,11.913407999999999,0.00010973936899862853
2021-03-20 02:00:00+00:00,706.1,27.2,3.01,11.728140501712968,0,0.12,2.0,0.49999999999999994,0.8660254037844387,16.52274,1.3717421124827656e-08
2021-03-20 03:00:00+00:00,844.72,28.26,2.84,12.178069549863004,0,0.12,3.0,0.7071067811865475,0.7071067811865476,19.766448,0.0
2021-03-20 04:00:00+00:00,888.65,28.9,2.97,14.835502629801882,0,0.12,4.0,0.8660254037844386,0.5000000000000001,20.79441,0.0
2021-03-20 05:00:00+00:00,877.42,29.1,3.26,13.996724476625142,0,0.12,5.0,0.9659258262890683,0.25881904510252074,20.531627999999998,0.00024109739368998573
2021-03-20 06:00:00+00:00,772.88,28.88,3.53,10.477370354088094,0,0.12,6.0,1.0,6.123233995736766e-17,18.085392,0.0020422085048010952
2021-03-20 07:00:00+00:00,609.12,28.35,3.67,8.951663638039683,0,0.12,7.0,0.9659258262890683,-0.25881904510252063,14.253408,0.004125692729766803
2021-03-20 08:00:00+00:00,393.15,27.54,3.73,12.62280421055415,0,0.12,8.0,0.8660254037844387,-0.4999999999999998,9.19971,0.00533631001371742
2021-03-20 09:00:00+00:00,192.38,26.42,3.75,14.0051708220206,0,0.12,9.0,0.7071067811865476,-0.7071067811865475,4.501692,0.005787037037037036
2021-03-20 10:00:00+00:00,35.5,25.09,3.22,12.031971884406719,0,0.12,10.0,0.49999999999999994,-0.8660254037844387,0.8306999999999999,0.0001460631001371746
2021-03-20 11:00:00+00:00,0.0,24.25,2.76,13.142990920908781,0,0.12,11.0,0.258819045102521,-0.9659258262890682,0.0,0.0
2021-03-20 12:00:00+00:00,0.0,24.01,2.59,13.466641709891782,0,0.12,12.0,1.2246467991473532e-16,-1.0,0.0,0.0
2021-03-20 13:00:00+00:00,0.0,23.84,2.55,13.225635289572073,0,0.12,13.0,-0.2588190451025208,-0.9659258262890683,0.0,0.0
2021-03-20 14:00:00+00:00,0.0,23.7,2.52,9.232926017635583,0,0.12,14.0,-0.4999999999999997,-0.8660254037844388,0.0,0.0
2021-03-20 15:00:00+00:00,0.0,23.54,2.51,9.8645233913087,0,0.12,15.0,-0.7071067811865471,-0.7071067811865479,0.0,0.0
2021-03-20 16:00:00+00:00,0.0,23.4,2.51,11.47977541368161,0,0.12,16.0,-0.8660254037844384,-0.5000000000000004,0.0,0.0
2021-03-20 17:00:00+00:00,0.0,23.25,2.53,13.56554675929762,0,0.12,17.0,-0.9659258262890683,-0.25881904510252063,0.0,0.0
2021-03-20 18:00:00+00:00,0.0,23.14,2.51,12.772633212489398,0,0.12,18.0,-1.0,-1.8369701987210297e-16,0.0,0.0
2021-03-20 19:00:00+00:00,0.0,23.07,2.56,12.700677274726171,0,0.12,19.0,-0.9659258262890684,0.2588190451025203,0.0,0.0
2021-03-20 20:00:00+00:00,0.0,23.01,2.57,13.9021269445889,0,0.12,20.0,-0.8660254037844386,0.5000000000000001,0.0,0.0
2021-03-20 21:00:00+00:00,0.0,22.96,2.48,12.014255684308761,0,0.12,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0
2021-03-20 22:00:00+00:00,0.0,22.98,2.37,9.631499115315354,0,0.12,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.0
2021-03-20 23:00:00+00:00,57.88,23.89,2.25,9.473908915212139,0,0.12,23.0,-0.25881904510252157,0.9659258262890681,1.354392,0.0
2021-03-21 00:00:00+00:00,225.77,25.08,2.75,11.484867168602023,0,0.12,0.0,0.0,1.0,5.283018,0.0
2021-03-21 01:00:00+00:00,438.27,26.22,3.0,13.520627025214909,0,0.12,1.0,0.25881904510252074,0.9659258262890683,10.255517999999999,0.0
2021-03-21 02:00:00+00:00,641.65,27.21,3.22,12.035391683843729,0,0.12,2.0,0.49999999999999994,0.8660254037844387,15.01461,0.0001460631001371746
2021-03-21 03:00:00+00:00,789.8,27.77,3.49,12.55439922626114,0,0.12,3.0,0.7071067811865475,0.7071067811865476,18.481319999999997,0.0016138408779149541
2021-03-21 04:00:00+00:00,821.62,28.03,3.75,14.193302032473895,0,0.12,4.0,0.8660254037844386,0.5000000000000001,19.225908,0.005787037037037036
2021-03-21 05:00:00+00:00,810.12,28.03,3.87,13.627919475048564,0,0.12,5.0,0.9659258262890683,0.25881904510252074,18.956808,0.009032962962962967
2021-03-21 06:00:00+00:00,747.47,27.97,3.8,10.066174354230553,0,0.12,6.0,1.0,6.123233995736766e-17,17.490797999999998,0.007023319615912202
2021-03-21 07:00:00+00:00,575.03,27.54,3.62,9.699692851603697,0,0.12,7.0,0.9659258262890683,-0.25881904510252063,13.455701999999999,0.003269245541838136
2021-03-21 08:00:00+00:00,377.88,26.85,3.42,12.569929384008477,0,0.12,8.0,0.8660254037844387,-0.4999999999999998,8.842392,0.001016296296296296
2021-03-21 09:00:00+00:00,176.93,25.9,3.3,12.713661668865454,0,0.12,9.0,0.7071067811865476,-0.7071067811865475,4.140162,0.0003703703703703697
2021-03-21 10:00:00+00:00,33.65,24.81,2.71,12.276561925139568,0,0.12,10.0,0.49999999999999994,-0.8660254037844387,0.7874099999999999,0.0
2021-03-21 11:00:00+00:00,0.0,24.13,2.43,13.165928370826991,0,0.12,11.0,0.258819045102521,-0.9659258262890682,0.0,0.0
2021-03-21 12:00:00+00:00,0.0,23.91,2.71,14.235669981044754,0,0.12,12.0,1.2246467991473532e-16,-1.0,0.0,0.0
2021-03-21 13:00:00+00:00,0.0,23.69,3.19,13.309996373562461,0,0.12,13.0,-0.2588190451025208,-0.9659258262890683,0.0,9.408779149519882e-05
2021-03-21 14:00:00+00:00,0.0,23.47,3.6,9.374489155030716,0,0.12,14.0,-0.4999999999999997,-0.8660254037844388,0.0,0.0029629629629629646
2021-03-21 15:00:00+00:00,0.0,23.26,3.89,10.019616236241001,0,0.12,15.0,-0.7071067811865471,-0.7071067811865479,0.0,0.00967035665294925
2021-03-21 16:00:00+00:00,0.0,23.08,4.24,12.536306260541696,0,0.12,16.0,-0.8660254037844384,-0.5000000000000004,0.0,0.02615396433470509
2021-03-21 17:00:00+00:00,0.0,22.88,4.48,11.835537706710289,0,0.12,17.0,-0.9659258262890683,-0.25881904510252063,0.0,0.04446902606310019
2021-03-21 18:00:00+00:00,0.0,22.69,4.32,12.855529726531111,0,0.12,18.0,-1.0,-1.8369701987210297e-16,0.0,0.03154962962962965
2021-03-21 19:00:00+00:00,0.0,22.6,4.08,11.56845092290738,0,0.12,19.0,-0.9659258262890684,0.2588190451025203,0.0,0.017280000000000004
2021-03-21 20:00:00+00:00,0.0,22.6,4.11,14.162563722516055,0,0.12,20.0,-0.8660254037844386,0.5000000000000001,0.0,0.018760370370370386
2021-03-21 21:00:00+00:00,0.0,22.62,4.4,13.604941222712629,0,0.12,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.03764060356652951
2021-03-21 22:00:00+00:00,0.0,22.61,4.47,9.606062519726722,0,0.12,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.043573703703703684
2021-03-21 23:00:00+00:00,37.1,22.87,5.17,9.03161289111817,0,0.12,23.0,-0.25881904510252157,0.9659258262890681,0.86814,0.14016890260631001
2021-03-22 00:00:00+00:00,131.62,23.27,6.23,11.713508343917715,0,0.12,0.0,0.0,1.0,3.079908,0.4622533196159123
2021-03-22 01:00:00+00:00,237.98,23.7,6.85,13.807570520219132,0,0.12,1.0,0.25881904510252074,0.9659258262890683,5.568731999999999,0.7828069272976679
2021-03-22 02:00:00+00:00,359.08,24.2,7.19,11.299624609501734,0,0.12,2.0,0.49999999999999994,0.8660254037844387,8.402472,1.0090543072702336
2021-03-22 03:00:00+00:00,437.77,24.35,7.29,13.656762756064765,0,0.12,3.0,0.7071067811865475,0.7071067811865476,10.243818,1.0830396296296299
2021-03-22 04:00:00+00:00,191.77,24.09,7.4,14.443037185772972,0,0.12,4.0,0.8660254037844386,0.5000000000000001,4.487418,1.168504801097394
2021-03-22 05:00:00+00:00,252.93,23.74,7.32,12.496069540362539,0,0.12,5.0,0.9659258262890683,0.25881904510252074,5.918562,1.1059200000000002
2021-03-22 06:00:00+00:00,183.77,23.39,7.07,9.473148346201597,0,0.12,6.0,1.0,6.123233995736766e-17,4.300218,0.9248167764060358
2021-03-22 07:00:00+00:00,140.6,23.01,6.71,9.256093711802121,0,0.12,7.0,0.9659258262890683,-0.25881904510252063,3.2900399999999994,0.7004775171467764
2021-03-22 08:00:00+00:00,87.78,22.52,6.27,12.693489475205315,0,0.12,8.0,0.8660254037844387,-0.4999999999999998,2.0540519999999995,0.4796403703703702
2021-03-22 09:00:00+00:00,42.4,21.92,5.54,13.660331551940242,0,0.12,9.0,0.7071067811865476,-0.7071067811865475,0.9921599999999998,0.2247882578875171
2021-03-22 10:00:00+00:00,6.7,21.26,4.73,11.400796307838029,0,0.12,10.0,0.49999999999999994,-0.8660254037844387,0.15678,0.07102492455418387
2021-03-22 11:00:00+00:00,0.0,20.88,4.5,12.890471146324089,0,0.12,11.0,0.258819045102521,-0.9659258262890682,0.0,0.04629629629629629
2021-03-22 12:00:00+00:00,0.0,20.76,4.44,14.038995404121978,0,0.12,12.0,1.2246467991473532e-16,-1.0,0.0,0.040960000000000024
2021-03-22 13:00:00+00:00,0.0,20.7,4.21,13.739022189813438,0,0.12,13.0,-0.2588190451025208,-0.9659258262890683,0.0,0.024301248285322364
2021-03-22 14:00:00+00:00,0.0,20.67,3.99,9.08965632328973,0,0.12,14.0,-0.4999999999999997,-0.8660254037844388,0.0,0.01331000000000001
2021-03-22 15:00:00+00:00,0.0,20.61,3.92,10.56682043469545,0,0.12,15.0,-0.7071067811865471,-0.7071067811865479,0.0,0.010681591220850477
2021-03-22 16:00:00+00:00,0.0,20.55,3.82,12.243729505017582,0,0.12,16.0,-0.8660254037844384,-0.5000000000000004,0.0,0.007563347050754452
2021-03-22 17:00:00+00:00,0.0,20.47,3.71,12.713150443868779,0,0.12,17.0,-0.9659258262890683,-0.25881904510252063,0.0,0.004909615912208504
2021-03-22 18:00:00+00:00,0.0,20.42,3.69,11.921739782771414,0,0.12,18.0,-1.0,-1.8369701987210297e-16,0.0,0.004506296296296296
2021-03-22 19:00:00+00:00,0.0,20.4,3.64,12.69145778519953,0,0.12,19.0,-0.9659258262890684,0.2588190451025203,0.0,0.003595939643347053
2021-03-22 20:00:00+00:00,0.0,20.42,3.6,13.833279034286365,0,0.12,20.0,-0.8660254037844386,0.5000000000000001,0.0,0.0029629629629629646
2021-03-22 21:00:00+00:00,0.0,20.44,3.52,13.13968063544894,0,0.12,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0019287791495198909
2021-03-22 22:00:00+00:00,0.0,20.51,3.46,9.15074810700702,0,0.12,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.0013351989026063097
2021-03-22 23:00:00+00:00,21.17,21.13,3.75,8.674522777983848,0,0.12,23.0,-0.25881904510252157,0.9659258262890681,0.495378,0.005787037037037036
2021-03-23 00:00:00+00:00,71.12,21.9,4.32,12.070538639351962,0,0.12,0.0,0.0,1.0,1.6642080000000001,0.03154962962962965
2021-03-23 01:00:00+00:00,135.12,22.67,4.77,12.392689548849882,0,0.12,1.0,0.25881904510252074,0.9659258262890683,3.161808,0.07606629629629626
2021-03-23 02:00:00+00:00,223.68,23.53,5.05,11.884296440742293,0,0.12,2.0,0.49999999999999994,0.8660254037844387,5.234112,0.11817729766803836
2021-03-23 03:00:00+00:00,324.8,24.3,5.15,12.637715761282077,0,0.12,3.0,0.7071067811865475,0.7071067811865476,7.60032,0.13632887517146783
2021-03-23 04:00:00+00:00,234.38,24.89,5.08,14.034980199281211,0,0.12,4.0,0.8660254037844386,0.5000000000000001,5.4844919999999995,0.12344186556927302
2021-03-23 05:00:00+00:00,232.77,25.32,4.96,14.092748756378832,0,0.12,5.0,0.9659258262890683,0.25881904510252074,5.446818,0.10328581618655691
2021-03-23 06:00:00+00:00,269.5,25.4,4.85,9.792911665937728,0,0.12,6.0,1.0,6.123233995736766e-17,6.306299999999999,0.08685356652949242
2021-03-23 07:00:00+00:00,224.18,25.06,4.7,9.887391386850608,0,0.12,7.0,0.9659258262890683,-0.25881904510252063,5.245812,0.0673936899862826
2021-03-23 08:00:00+00:00,141.07,24.42,4.46,11.372177726604903,0,0.12,8.0,0.8660254037844387,-0.4999999999999998,3.3010379999999997,0.04269048010973936
2021-03-23 09:00:00+00:00,74.68,23.51,4.03,12.967136080240362,0,0.12,9.0,0.7071067811865476,-0.7071067811865475,1.747512,0.01498939643347052
2021-03-23 10:00:00+00:00,12.9,22.39,3.11,12.368028189746807,0,0.12,10.0,0.49999999999999994,-0.8660254037844387,0.30186,1.8257887517146718e-05
2021-03-23 11:00:00+00:00,0.0,21.7,2.65,12.580002749127253,0,0.12,11.0,0.258819045102521,-0.9659258262890682,0.0,0.0
2021-03-23 12:00:00+00:00,0.0,21.5,2.51,14.92461965705311,0,0.12,12.0,1.2246467991473532e-16,-1.0,0.0,0.0
2021-03-23 13:00:00+00:00,0.0,21.27,2.42,12.490918912633237,0,0.12,13.0,-0.2588190451025208,-0.9659258262890683,0.0,0.0
2021-03-23 14:00:00+00:00,0.0,21.12,2.3,9.621522814420354,0,0.12,14.0,-0.4999999999999997,-0.8660254037844388,0.0,0.0
2021-03-23 15:00:00+00:00,0.0,21.04,2.29,9.471680062365163,0,0.12,15.0,-0.7071067811865471,-0.7071067811865479,0.0,0.0
2021-03-23 16:00:00+00:00,0.0,20.98,2.23,12.342537204467007,0,0.12,16.0,-0.8660254037844384,-0.5000000000000004,0.0,0.0
2021-03-23 17:00:00+00:00,0.0,20.94,2.22,12.97387261113111,0,0.12,17.0,-0.9659258262890683,-0.25881904510252063,0.0,0.0
2021-03-23 18:00:00+00:00,0.0,20.88,2.24,12.124930061240585,0,0.12,18.0,-1.0,-1.8369701987210297e-16,0.0,0.0
2021-03-23 19:00:00+00:00,0.0,20.83,2.3,12.974202159694762,0,0.12,19.0,-0.9659258262890684,0.2588190451025203,0.0,0.0
2021-03-23 20:00:00+00:00,0.0,20.8,2.43,14.103394356598468,0,0.12,20.0,-0.8660254037844386,0.5000000000000001,0.0,0.0
2021-03-23 21:00:00+00:00,0.0,20.78,2.54,13.334814139832309,0,0.12,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0
2021-03-23 22:00:00+00:00,0.0,20.76,2.6,9.883900069771654,0,0.12,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.0
2021-03-23 23:00:00+00:00,48.88,21.8,2.64,9.720398909726358,0,0.12,23.0,-0.25881904510252157,0.9659258262890681,1.143792,0.0
2021-03-24 00:00:00+00:00,166.18,22.67,3.14,12.045147708045072,0,0.12,0.0,0.0,1.0,3.888612,3.7640603566529586e-05
2021-03-24 01:00:00+00:00,303.15,23.69,3.31,13.69238966231882,0,0.12,1.0,0.25881904510252074,0.9659258262890683,7.093709999999999,0.000408655692729767
2021-03-24 02:00:00+00:00,533.05,24.69,3.47,12.142459752868962,0,0.12,2.0,0.49999999999999994,0.8660254037844387,12.47337,0.0014241838134430745
2021-03-24 03:00:00+00:00,625.05,25.49,3.73,12.938918561670787,0,0.12,3.0,0.7071067811865475,0.7071067811865476,14.626169999999998,0.00533631001371742
2021-03-24 04:00:00+00:00,682.95,26.17,3.96,14.52293325023818,0,0.12,4.0,0.8660254037844386,0.5000000000000001,15.98103,0.012136296296296294
2021-03-24 05:00:00+00:00,637.38,26.38,4.14,13.94056054706918,0,0.12,5.0,0.9659258262890683,0.25881904510252074,14.914691999999999,0.020322962962962942
2021-03-24 06:00:00+00:00,647.35,26.26,4.24,9.09452777834234,0,0.12,6.0,1.0,6.123233995736766e-17,15.14799,0.02615396433470509
2021-03-24 07:00:00+00:00,519.75,25.73,4.24,10.14963432888062,0,0.12,7.0,0.9659258262890683,-0.25881904510252063,12.16215,0.02615396433470509
2021-03-24 08:00:00+00:00,352.1,25.16,4.17,11.313791294156998,0,0.12,8.0,0.8660254037844387,-0.4999999999999998,8.239139999999999,0.021970000000000003
